review_text,age,product_category,recommended
Absolutely love this dress! The fit is perfect and the color is exactly as shown. Great quality fabric!,34,Dresses,1
Not worth the price. The material feels cheap and the sizing runs very small. Disappointed.,45,Tops,0
This top is cute but runs a bit large. I should have sized down. Still keeping it though.,28,Tops,1
Perfect for summer! Lightweight and comfortable. I've received so many compliments!,52,Dresses,1
The stitching came undone after one wash. Poor quality. Would not recommend.,31,Blouses,0
Beautiful blouse! The embroidery detail is gorgeous. Runs true to size.,67,Blouses,1
Meh. It's okay. Nothing special but decent for the price.,23,Tops,1
This is now my favorite sweater! So soft and cozy. Worth every penny!,41,Sweaters,1
Too sheer - you definitely need to wear something underneath. Otherwise nice design.,36,Tops,1
Love love love! The pattern is unique and the quality is excellent!,29,Dresses,1
Returned immediately. The color was completely different from the photo.,55,Dresses,0
Great basic tee. Nothing fancy but good quality and comfortable fit.,38,Tops,1
This jacket exceeded my expectations! The hardware is nice and it fits perfectly.,44,Jackets,1
The dress arrived wrinkled and the zipper was stuck. Very frustrated with this purchase.,26,Dresses,0
Finally found jeans that fit my petite frame! Will definitely buy more colors.,33,Pants,1
